"";"DecisionTreeClassifier_256_manual";"DecisionTreeClassifier_256_unet";"DecisionTreeClassifier_400_unet";"DecisionTreeClassifier_512_unet";"KNeighborsClassifier_256_manual";"KNeighborsClassifier_256_unet";"KNeighborsClassifier_400_unet";"KNeighborsClassifier_512_unet";"MLPClassifier_256_manual";"MLPClassifier_256_unet";"MLPClassifier_400_unet";"MLPClassifier_512_unet";"RandomForestClassifier_256_manual";"RandomForestClassifier_256_unet";"RandomForestClassifier_400_unet";"RandomForestClassifier_512_unet";"SVC_256_manual";"SVC_256_unet";"SVC_400_unet";"SVC_512_unet";"KNeighborsClassifier_400_manual";"MLPClassifier_400_manual";"DecisionTreeClassifier_400_manual";"SVC_400_manual";"RandomForestClassifier_400_manual"
"surf128_256_search_best_params";"0.14109349250793457";"0.19824934005737305";"0.2048816680908203";"0.2010347843170166";"0.19117999076843262";"0.14188051223754883";"0.14922738075256348";"0.18310976028442383";"9.26577091217041";"9.17727780342102";"9.203837156295776";"9.348552227020264";"27.310251235961914";"27.244431734085083";"27.44975233078003";"27.495258808135986";"0.1375260353088379";"0.1408219337463379";"0.130875825881958";"0.11490535736083984";"0.15708184242248535";"9.37652850151062";"0.1947784423828125";"0.16043329238891602";"27.378984928131104"
"surf128_256_train_valid";"0.009101009368896485";"0.0793914794921875";"0.07598576545715333";"0.07751955986022949";"0.017304086685180665";"0.016991901397705077";"0.01711869239807129";"0.01806931495666504";"0.2754392147064209";"0.2924032688140869";"0.26416926383972167";"0.1549302577972412";"1.0654998302459717";"1.0572355747222901";"1.2812017917633056";"1.2778644561767578";"0.06519885063171386";"0.06018824577331543";"0.06496605873107911";"0.1349618911743164";"0.01765294075012207";"0.23924736976623534";"0.07664504051208496";"0.06038179397583008";"1.0454676628112793"
"surf128_128_search_best_params";"0.11332011222839355";"0.11411404609680176";"0.11816620826721191";"0.10335493087768555";"0.1538393497467041";"0.1171712875366211";"0.11356949806213379";"0.121429443359375";"5.460586071014404";"5.448800086975098";"5.4962990283966064";"5.411106109619141";"23.464129209518433";"23.785755395889282";"23.530550718307495";"24.113129377365112";"0.09245848655700684";"0.08625292778015137";"0.0953056812286377";"0.10379767417907715";"0.12567663192749023";"5.5115180015563965";"0.09458518028259277";"0.10066556930541992";"24.278295755386353"
"surf128_128_train_valid";"0.05107135772705078";"0.07906932830810547";"0.07467446327209473";"0.04977350234985352";"0.016978931427001954";"0.016772651672363283";"0.0165463924407959";"0.01705632209777832";"0.27143030166625975";"0.28007993698120115";"0.2667032241821289";"0.19016222953796386";"0.5322722911834716";"1.0547717094421387";"0.797645378112793";"1.2844807147979735";"0.06565876007080078";"0.06516079902648926";"0.06223478317260742";"0.13575735092163085";"0.01688861846923828";"0.24609823226928712";"0.00916295051574707";"0.06464686393737792";"1.3676745414733886"
"mobilenetv2_1280_search_best_params";"";"2.333700180053711";"2.752171516418457";"2.486499786376953";"";"0.7065668106079102";"0.6846964359283447";"0.6980714797973633";"";"228.274249792099";"224.36096286773682";"224.83439660072327";"";"95.38869261741638";"93.97490787506104";"96.48826956748962";"";"3.120612621307373";"2.878239154815674";"3.7275097370147705";"";"";"";"";""
"mobilenetv2_1280_train_valid";"";"0.46085281372070314";"0.7374517917633057";"0.49596500396728516";"";"0.02165193557739258";"0.020978450775146484";"0.022142553329467775";"";"0.901596975326538";"2.2499165534973145";"2.10782527923584";"";"1.4202757358551026";"0.8671073913574219";"1.4569290637969972";"";"0.5007145404815674";"0.5173751831054687";"1.016535234451294";"";"";"";"";""
"mobilenetv2_1024_search_best_params";"";"2.451899528503418";"1.673753023147583";"2.6904726028442383";"";"0.5918161869049072";"0.5880041122436523";"0.590876579284668";"";"167.3433394432068";"164.57840871810913";"165.77401113510132";"";"111.76919937133789";"112.39916038513184";"113.98759984970093";"";"2.6069540977478027";"2.4629833698272705";"3.0486857891082764";"";"";"";"";""
"mobilenetv2_1024_train_valid";"";"0.6740271568298339";"0.05491561889648437";"0.7412673473358155";"";"0.020920848846435545";"0.022612619400024413";"0.02091250419616699";"";"1.834993267059326";"1.836270523071289";"1.8087198734283447";"";"0.8527517318725586";"1.4171056747436523";"1.6881667613983153";"";"0.4764986038208008";"0.426774263381958";"0.8632049083709716";"";"";"";"";""
"mobilenetv2_512_search_best_params";"";"0.9195635318756104";"1.1424524784088135";"1.4319744110107422";"";"0.3916511535644531";"0.3892507553100586";"0.3966553211212158";"";"67.92134118080139";"66.34515404701233";"67.16698789596558";"";"85.25301098823547";"84.94395565986633";"86.22946524620056";"";"1.4305915832519531";"1.7065260410308838";"1.711352825164795";"";"";"";"";""
"mobilenetv2_512_train_valid";"";"0.024750947952270508";"0.2120035171508789";"0.35905704498291013";"";"0.01965808868408203";"0.02018294334411621";"0.02031741142272949";"";"1.085331916809082";"1.0778482913970948";"1.0775063514709473";"";"1.2022447109222412";"0.9102272033691406";"1.4881011962890625";"";"0.30405735969543457";"0.5077993869781494";"0.5184886932373047";"";"";"";"";""
